,rating,price,weight,composition,packed_size,size
Social Bivvy Pêche de la carpe XL,4.54,380.0,14.75,"Arceau
90% Fibre de verre, 10% Acier
Tissu principal
100% Polyester",,Très grand volume interne pour des moments de partage et de convivialité.
Tente tarp de trekking - 1 place - MT900 Minimal Editions - Undyed,4.48,150.0,0.95,"Tissu principal
80% Polyester, 20% Polyuréthane thermoplastique","Poids 920 g. Housse compacte & compressible 2,5 L. Dimensions 30 x10 x10 cm",Largeur 60/50 cm. Hauteur chambre 95 cm. 1 porte.1 abside. 1 poche en mesh
Lot de 2 housses de rangement de trekking - Demi-lune imperméables - 2x15L,4.65,12.0,0.154,"Tissu principal
100% Polyester
Sangle
100% Polypropylène
Enduction
100% Polyuréthane",,
Tente à arceaux de camping - Arpenaz 4.1 F&B - 4 Personnes - 1 Chambre,4.21,200.0,10.6,"Tissu principal
100% Polyester
Chambre intérieure
100% Polyester
Arceau
100% Fibre de verre
Tapis de sol
100% Polyéthylène
Sac de transport
100% Polyester","Housse rectangulaire | 65 x 30 x 25 cm | 48 litres | 10,6 kg",Chambre : 240 x 210 cm | Séjour debout : 5 m² | Tapis de sol cuvette
Tente de camping - 2 SECONDS EASY - 2 places - Fresh & Black,4.4,140.0,4.7,"Tissu principal
100% Polyester
Structure métallique
50% Polyoxyméthylène, 50% Fibre de verre","Dimension de la housse : 59 cm x 20 cm x 20 cm / 24 L. Poids : 4,9 kg.",Chambre 145 X 205 cm Hauteur max. utile : 110 cm. 2 zones de stockage chaussures
Tente de camping - 2 SECONDS XL - 3 places - Fresh & Black,4.63,160.0,5.432,"Double toit
100% Polyester
Tissu intérieur
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre
Sac de transport
100% Polyester","Dimension de la housse : Ø85x9 cm / 51 L. Poids : 5,3 kg.",Chambre 210 X 210 cm. Hauteur max. utile : 115 cm. 1 zone de rangement.
Tente gonflable de camping - Air Seconds 5.2 F&B - 5 Personnes - 2 Chambres,4.4,590.0,22.5,"Tissu principal
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Polyuréthane, 100% Aluminium
Sac de transport
100% Polyester","Housse rectangulaire | 85 x 35 x 35 cm | 104 litres | 21,8 kg","2 Chambres : 210x210 cm - 140x210 cm | Séjour debout : 7,9 m² | Tapis sol zippé"
TENTE DE TREKKING FERRINO SLING 1 VERTE,3.6,160.0,1.25,,"Poids total : 1,25 kg. Eléments séparables.
Poids mini : 0,95 kg","Largeur max 80 cm, 60 cm au pied, longueur 220 cm. 1 porte et 1 petite abside."
10 PIQUETS EN ACIER POUR TENTE - TERRAINS VARIÉS,4.73,6.0,0.462,"Partie principale
100% Acier",,
Tente de camping - 2 SECONDS - 2 places - Fresh & Black,4.48,100.0,3.284,"Double toit
100% Polyester
Tissu intérieur
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre
Sac de transport
100% Polyester","Dimension de la housse : Ø65x9 cm / 29,9 L. Poids :3,3 kg.","Chambre 125 X 210 cm.
Hauteur max. utile : 98 cm."
Tente à arceaux de camping - Arpenaz 4.2 F&B - 4 Personnes - 2 Chambres,4.15,280.0,12.5,"Double toit
100% Polyester
Tissu intérieur
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre","Housse rectangulaire | 60 x 30 x 30 cm | 54 litres | 12,5 kg","Chambres : 140 x 210 cm | Séjour debout : 3,5 m² | Tapis de sol cuvette"
TARP ABRI CAMPING MULTIFONCTION - FRESH,4.33,50.0,2.28,"Arceau
100% Acier
Tissu principal
100% Polyester
Piquet
100% Acier
Sac de transport
100% Polyester","Dimensions housse 54 cm x 20cm x 10 cm / 10 L. Poids 2,2kg ou 1kg sans les mâts.",Permet d'obtenir jusqu'à 8 m² de surface protégée suivant la configuration.
Tente de camping - MH100 XL - 2 places - Fresh & Black,4.43,90.0,4.4,"Tissu principal
100% Polyester
Chambre intérieure
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre
Sac de transport
100% Polyester","Dimension de la housse : 59 cm x 17 cm x 17 cm / 17L. Poids : 4,5 kg.",Chambre 130 X 210 cm. Hauteur max. utile : 112 cm. 1 zone de rangement.
Abri de camping - Arpenaz Fresh Instant Canopy - 8 Personnes,3.88,150.0,16.9,"Structure métallique
100% Acier
Tissu principal
100% Polyester
Sac de transport
100% Polyester","Housse rectangulaire | 118 x 30 x 21 cm | 75 litres | 14,5 kg","Hauteur : 2,69 m | 9 m² au sol | Espace pour s'asseoir à 8 personnes à table"
Tente dôme de trekking - 2 places - MT900,4.33,250.0,2.0,"Chambre intérieure
65% Polyamide, 35% Polyester
Tissu principal
80% Polyester, 20% Polyuréthane thermoplastique
Arceau
100% Aluminium","Poids total 1,95 kg
Housse compacte & compressible 5,3 L
Dimensions 39x12x12 cm","Largeur 60 cm par personne
Hauteur chambre 100 cm
2 portes. 2 absides. 4 poches"
2 MÂTS DE CAMPING,4.53,12.0,1.344,"Arceau
98% Acier inoxydable, 2% Polypropylène",,
Tente dôme de trekking - 3 places - MT500,3.77,180.0,3.4,"Chambre intérieure
80% Polyester, 20% Polyuréthane thermoplastique
Tissu principal
80% Polyester, 20% Polyuréthane thermoplastique
Arceau
100% Aluminium","Poids total 3,75 kg
Housse de compression : 12,5 litres
Dimensions 39x18x18 cm","Largeur 60 cm par personne.
Hauteur chambre 119 cm.
2 portes 2 absides 3 poches."
Tente tunnel de trekking - 4 places - MT900 Ultralight,3.74,370.0,3.6,"Tissu principal
70% Polyamide, 30% Polyuréthane
Doublure principale
80% Polyester, 20% Polyuréthane
Arceau
100% Aluminium","Poids total 3,45 kg
Housse compacte et compressible 20 L
Dimensions 39x20x20 cm","Largeur 57 cm par pers
Hauteur chambre 122 cm
Grand séjour 4,9 m²"
"Tarp de trekking - 1,5 places - MT900",4.11,70.0,0.662,"Tissu principal
80% Polyester, 20% Polyuréthane thermoplastique","Poids total 500 g.
Housse compacte : 1,5 litres.
Dimensions 15 cm x Ø 10 cm",Abrite jusqu'à 2 personnes suivant la configuration choisie. Multiples montages.
Social Bivvy L Pêche de la carpe,4.22,250.0,12.0,"Arceau
90% Fibre de verre, 10% Acier
Tissu principal
100% Polyester
Bouclerie
100% Polypropylène",,Très grand volume interne pour des moments de partage et de convivialité.
Tente à arceaux de camping - Arpenaz 5.2 F&B - 5 Personnes - 2 Chambres,4.3,350.0,16.13,"Double toit
100% Polyester
Tissu intérieur
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre
Sac de transport
100% Polyester","Housse rectangulaire | 60 x 36 x 36 cm | 78 L | 16,7 Kg",2 Chambres : 210x210 cm - 140x210 cm | Séjour debout : 5 m² | Tapis sol cuvette
POMPE À MAIN CAMPING - ULTIM COMFORT 10 PSI - RECOMMANDÉE POUR TENTE GONFLABLE,4.57,28.0,1.4,"Structure métallique
100% Polypropylène
Partie principale
100% Polyamide
Poignée
100% Acrylonitrile butadiène styrène
Connecteur de valve
70% Polyéthylène, 30% Éthylène-acétate de vinyle","Poids : 1000 g | 56,9 x 22,5 x 10,5 cm",
PELLE-PIOCHE PLIANTE POUR LE CAMPING,4.64,16.0,0.8,"Partie principale
100% Acier inoxydable
Sac de transport
100% Polyester","Longueur plié : 25 cm | Longueur déplié : 58 cm | Poids avec housse : 1,08 kg",
Tente gonflable de camping - Air Seconds 6.3 F&B - 6 Personnes - 3 Chambres,4.55,690.0,25.5,"Tissu principal
100% Polyester
Tapis de sol
100% Polyéthylène
Sac de transport
100% Polyester
Arceau
100% Aluminium","Housse rectangulaire | 85 x 38 x 38 cm | 128 litres | 25,9 kg","Chambres : 140 x 210 cm | Séjour debout : 7,1 m² avec tapis de sol cuvette zippé"
Tente gonflable de camping - Air Seconds 8.4 F&B - 8 Places - 4 Chambres,4.0,900.0,29.0,"Tissu principal
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre
Sac de transport
100% Polyester",Housse rectangulaire | 87 x 40 x 45 cm | 139 litres | 29 kg,Chambres : 147 x 210 cm | Séjour debout : 9 m² avec tapis de sol cuvette zippé
6 PIQUETS DE TENTE - SOLS DURS,4.83,11.0,0.562,"Partie principale
90% Acier, 10% Polyamide",,
TENTE DE TREKKING FERRINO SLING 2 VERTE,3.0,220.0,1.65,,"Poids total : 1,7 kg. Eléments séparables. Poids mini : 1,5 kg","Largeur max 120 cm, 90 cm au pied, longueur 220 cm. 1 porte et 1 abside."
Tente à arceaux de camping - Arpenaz 4.2 - 4 Personnes - 2 Chambres,4.21,180.0,11.7,"Double toit
100% Polyester
Tissu intérieur
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre
Sac de transport
100% Polyester","Housse rectangulaire | 60 x 26 x 26 cm | 40 litres | 11,7 kg","Chambres : 140 x 210 cm | Séjour debout : 3,5 m² avec tapis de sol cuvette"
Tente dôme de trekking - 2 places - MT500 Mesh,3.91,150.0,2.6,"Tissu principal
80% Polyester, 20% Polyuréthane thermoplastique
Arceau
100% Aluminium","Poids total 2,6 kg. Housse de compression 9 L. Dimensions 39 x 16 x 15 cm",Largeur 60 cm/personne. Hauteur chambre 108 cm. 2 portes. 2 absides. 2 poches
Lot de 2 housses de rangement universelles - 2x10L,4.78,6.0,0.118,"Tissu principal
100% Polyester",,
TARP ABRI CAMPING MULTIFONCTION,4.1,35.0,2.385,"Arceau
100% Acier
Tissu principal
100% Polyester
Piquet
100% Acier
Sac de transport
100% Polyester","Dimensions housse 54 cm x 20cm x 10 cm / 10 L. Poids 2,3kg ou 1kg sans les mâts.",Permet d'obtenir jusqu'à 8 m² de surface protégée suivant la configuration.
Tente gonflable de camping - Air Seconds 4.2 F&B - 4 Personnes - 2 Chambres,4.52,490.0,18.5,"Double toit
100% Polyester
Chambre intérieure
100% Polyester
Arceau
50% Polyester, 40% Polyuréthane thermoplastique, 5% Fibre de verre, 5% Aluminium
Tapis de sol
100% Polyéthylène
Sac de transport
100% Polyester","Housse rectangulaire | 75 x 37 x 37 cm | 102 litres | 18,5 kg",Chambres : 140 x 260 cm | Séjour debout : 5.9 m² avec tapis de sol cuvette zippé
DRAP HOUSSE POUR TENTE DE TOIT MH500 2P,5.0,35.0,0.67,"Tissu principal
65% Polyester, 35% Coton",,
Tente de camping - 2 SECONDS XL - 2 places - Fresh & Black,4.61,140.0,4.236,"Double toit
100% Polyester
Tissu intérieur
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre
Sac de transport
100% Polyester","Dimension de la housse : Ø74x9 cm / 38,7 L. Poids : 4,3 kg.",Chambre 145 X 210 cm. Hauteur max. utile : 105 cm. 1 zone de rangement.
SOUS MATELAS ANTI-CONDENSATION POUR TENTE DE TOIT MH900 2P,,70.0,1.5,"Tissu principal
100% Polyester",,
Tente en sacoche souple Thule Tepui Ayer,,1499.95,,,,
Abri à arceaux de camping - 1 place - Arpenaz 1P,4.24,15.0,1.1,"Tissu principal
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre
Sac de transport
100% Polyester","Compact une fois plié, dimensions de la housse en cm : 37 x Ø10 I Léger 1kg.",​Abrite 1 adulte ou 2 enfants | Largeur 170cm I Profondeur 150cm I Hauteur 110cm
Tente gonflable de camping - Air Seconds 4.1 F&B - 4 Personnes - 1 Chambre,4.43,390.0,14.5,"Double toit
100% Polyester
Tissu intérieur
100% Polyester
Arceau
55% Polyuréthane thermoplastique, 35% Polyester, 5% Fibre de verre, 5% Aluminium
Tapis de sol
100% Polyéthylène
Sac de transport
100% Polyester",Housse rectangulaire | 75 x 35 x 35 cm | 92 litres | 15 kg,"Chambre : 280 x 210 cm | Séjour debout : 6,5 m² | Tapis de sol cuvette zippé"
MAILLET DE CAMPING TERRAIN DUR,4.73,14.0,0.42,"Partie principale
75% Acier, 25% Aluminium",,
Piquets alu non-anodisés ultra légers - MT900 - 10 g (x5),4.63,10.0,0.045,"Tissu principal
100% Aluminium",,
"Tente tunnel Montana Sleeper 14 Protect - 14 pers - 2 cabines sombres, Sol cousu",,699.0,,,,
TENTE TROPICAL AUTOPORTANTE MOUSTIQUAIRE DE TREKKING - 2 pers,5.0,60.0,2.0,"Tapis de sol
100% Polyester
Tissu principal
100% Polyester
Arceau
100% Fibre de verre
Enduction
100% Polyuréthane
Sac de transport
100% Polyester","Dimension tente pliée : 50 cm x 30 cm
Housse de rangement compressible.","2 personnes
Largeur 60 cm par personne
Hauteur chambre : 105 cm"
Tente tunnel Egersund 7 Plus Sleeper - 7 personnes - Sol cousu - 1 cabine noire,,499.0,,,,
2 haubans et 4 tendeurs pour tente,4.68,6.0,0.13,"Tissu principal
100% Polyester",,
MAILLET DE CAMPING,4.59,6.0,0.302,"Partie principale
100% Caoutchouc styrène-butadiène latex
Poignée
100% Acier",,
Séjour gonflable de camping - Base Air Seconds Fresh - 8 Personnes,4.56,360.0,14.9,"Double toit
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre
Sac de transport
100% Polyester",,"Hauteur max : 2,3 m | Surface au sol : 9 m² | Confortable pour 8 personnes"
AUVENT DE CAMPING - ARPENAZ FRESH - 6 PERSONNES,3.97,90.0,4.517,"Arceau
100% Acier
Tissu principal
100% Polyester
Piquet
100% Acier
Sac de transport
100% Polyester","Housse rectangulaire |  85 x 16 x 15 cm | 4,5 kg",Permet d'obtenir jusqu'à 9 m² de surface protégée suivant la configuration
TARP ABRI CAMPING MULTIFONCTION - FRESH XL,3.58,80.0,5.687,"Arceau
100% Acier
Tissu principal
100% Polyester
Piquet
100% Acier
Sac de transport
100% Polyester","Dimensions housse 45 cm x 40 cm x 20 cm.
Poids 5,8 kg",Permet d'obtenir jusqu'à 14 m² de surface protégée suivant la configuration.
Abri de camping instantané 4 places - Base Easy 4P UltraFresh,4.14,80.0,3.3,"Tissu principal
100% Polyester
Arceau
100% Fibre de verre
Tapis de sol
100% Polyéthylène
Sac de transport - Tissu principal
100% Polyester","Housse avec sangle réglable, dimensions : 90 cm x Ø 14 cm I Léger 3,5 kg.","Spacieux, pour 4 personnes | Dimensions : 190 x 190 x 140 cm de hauteur."
Auvent Avancée Pitea Van - Autoportant pour minibus/Van - 300x300cm - Gris,3.44,249.0,,,,
TENTE DE TREKKING LIGHTENT PRO 3 2022,,240.0,1.65,,"Poids total : 2,8 kg.
Sans housses : 2,5 kg
Poids double toit : 1,8 kg","Largeur 160 cm, longueur 235 cm. 2 portes et 2 grandes absides."
HOUSSE POUR TENTE DE TOIT MH500 FRESH&BLACK 2P,3.0,100.0,2.98,"Tissu principal
100% Polychlorure de vinyle",,
Tente de camping - MH100 - 3 places - Fresh,4.11,75.0,4.1,"Tissu principal
100% Polyester
Arceau
100% Fibre de verre
Enduction
100% Polyuréthane
Sac de transport
100% Polyester","Dimensions de la housse: 57cm x 15cm x 15cm / 13 L. Poids : 4,1 kg",Chambre 210 X 210 cm. Hauteur max. utile : 120 cm
Tente tunnel Kambo 4 - Tente Camping 4 personnes - 1 cabine sombre - 3 entrées,,169.0,,,,
FILET UNIVERSEL POUR TENTE OU SÉJOUR DE CAMPING - 6 POCHES DE DIFFÉRENTS FORMATS,4.48,10.0,0.088,"Tissu principal
100% Polyester
Bouclerie
100% Polyoxyméthylène",,
10 CORNIÈRES DE TENTE - SOLS MOUS OU MEUBLES,4.66,7.0,0.462,"Partie principale
100% Acier",,
Bushmen Tarp Ultraléger 3x2 - Olive Foncé,,89.99,,,,
Abri à arceaux de camping - 4 places - Arpenaz 4P,5.0,50.0,1.95,"Arceau
100% Fibre de verre
Tissu principal
100% Polyester
Tapis de sol
100% Polyéthylène","Housse avec sangle réglable I Compact, dimensions : 55 x Ø 14 cm I Léger 1,95 kg","Abrite jusqu'à 4 personnes | Dimensions : 170 x 110 cm, hauteur : 115 cm."
Flextail Gear Bollard Cart Pliable Ezy wagon - Jusqu'à 100KG - Noir,,169.95,,,,
DRAP HOUSSE POUR TENTE DE TOIT MH900 2P,5.0,50.0,0.67,"Tissu principal
65% Polyester, 35% Coton",,
Piquets alu non-anodisés - MT500 - 15 g (x5),4.63,8.0,0.09,"Tissu principal
100% Aluminium",,
Haubans de trekking ultra léger réfléchissant,4.25,10.0,0.2,"Tissu principal
100% Polyamide",,
Pompe électrique (Noir),,37.3,,,,
Tente tunnel Kambo 6 - Tente Camping 6 personnes - 1 cabine sombre - 3 entrées,,239.0,,,,
2 haubans et 4 tendeurs réfléchissants pour tente,4.73,8.0,0.136,"Tissu principal
100% Polyester
Bouclerie
100% Polyoxyméthylène
Tissu réfléchissant
100% Polyester",,
ROUE DE RECHANGE - PIÈCE DÉTACHÉE POUR LE TROLLEY ALL ROAD,,15.0,0.38,"Partie principale
100% Polychlorure de vinyle",,
Abri solaire UPF50+ instantané moustiquaire enfant 2 places - Bleu,,39.9,,FER,,
HOUSSE DE PLUIE - PIÈCE DÉTACHÉE POUR LE TROLLEY ET TROLLEY ALL ROAD,5.0,10.0,0.16,"Tissu principal
100% Polyester",,
TARP COMPATIBLE TENTE DE VAN 500 FRESH&BLACK,,45.0,1.7,"Arceau
100% Acier
Tissu principal
100% Polyester
Sac de transport
100% Acier",,Tarp Fresh & Black 189 x 193 cm - livré avec 2 mâts et haubans
Tente bulle de camping - AirSeconds Skyview Polycoton - 2 Personnes - 1 Chambre,,1790.0,36.5,"Tissu principal
58% Polyester, 31% Coton, 11% Polyuréthane
Tapis de sol
53% Polyester, 24.8% Éthylène-acétate de vinyle, 16% Polyuréthane, 6.2% Polyéthylène
Fenêtre
100% Polychlorure de vinyle","Sac transport | 75 x 49 x 49 cm | 180 litres | 36,5 kg tout compris","1 grande Chambre : 355 x 329 cm  8,5 m2 | Tapis de sol cousu"
Tente à arceaux de camping - Arpenaz 6.3 F&B - 6 Personnes - 3 Chambres,4.13,500.0,20.0,"Double toit
100% Polyester
Chambre intérieure
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre
Sac de transport
100% Polyester",Housse rectangulaire | 60 x 40 x 40cm | 96 litres | 21 Kg,3 Chambres : 140 x (210 /205)cm | Séjour debout : 6 m² avec tapis de sol cuvette
Tente de camping - 2 Seconds EASY - 3 places - Fresh & Black,4.32,250.0,8.2,"Tissu principal
100% Polyester
Structure métallique
50% Polyoxyméthylène, 50% Fibre de verre","Dimension de la housse : 71 cm x 22 cm x 22 cm / 34 L. Poids : 8,2kg.",Chambre 210 X 205 cm Hauteur max. utile : 128 cm. 1 zone de stockage chaussures.
Séjour à arceaux de camping - Base Arpenaz ULTRAFRESH - 10 Personnes,3.25,200.0,12.2,"Tissu principal
100% Polyester
Arceau
100% Acier
Sac de transport
100% Polyester","Housse rectangulaire | 58 x 27 x 27 cm | 42 litres | 12,2 kg","Hauteur : 2,3 m | 11 m² au sol | Espace pour s'asseoir à 10 personnes à table"
Tente Tipi de camping - Tepee 5.2 Polycoton - 5 Personnes - 2 Chambres,,1299.0,43.7,"Tissu principal
70% Polyester, 30% Coton
Tapis de sol
100% Polyéthylène
Arceau
100% Aluminium
Sac de transport
85% Polyester, 15% Coton","Sac transport à roulette | 102 x 44 x 55 cm | 246 litres | 40,5 kg tout compris",2 Chambres : 210 x 210 cm - 140 x 210 cm | Séjour debout : 9m² | Tapis sol zippé
Tente gonflable de camping - AirSeconds 6.3 Polycoton - 6 Personnes - 3 Chambres,3.0,1350.0,46.0,"Double toit
70% Polyester, 30% Coton
Tapis de sol
100% Polyéthylène
Arceau
50% Polyéthylène, 40% Polyuréthane thermoplastique, 5% Fibre de verre, 5% Aluminium","Sac transport à roulette | 97 x 48 x 53 cm | 247 litres | 45,9 kg tout compris |","Chambres : 140 x 210 cm | Séjour debout : 7,1 m² avec tapis de sol cuvette zippé"
